OID,Shape_Leng,Shape_Area,NAME,POSTAL
-1,0.728763084262000,0.017781098614400,Akron,46910
-1,0.557244287478000,0.009175725357130,Albany,47320
-1,1.163223927440000,0.027912882849100,Albion,46701
-1,0.825377497219000,0.020931471717400,Alexandria,46001
-1,0.620245095874000,0.010204121332900,Allendale,62410
-1,0.479313256489000,0.008405314597000,Alvin,61811
-1,0.593981151572000,0.011697621779700,Ambia,47917
-1,0.655150699822000,0.011290321399500,Amboy,46911
-1,0.866050771526000,0.021227611230200,Anderson,46011
-1,0.641423588211000,0.009058830686600,Anderson,46012
-1,0.423453775456000,0.005772585210320,Anderson,46013
-1,0.219733362328000,0.001765944368410,Anderson,46016
-1,0.333977851530000,0.004115541498680,Anderson,46017
-1,0.780730433387000,0.010347079664900,Andrews,46702
-1,1.318774926100000,0.036070900366800,Angola,46703
-1,0.586353303821000,0.014495508592100,Antwerp,45813
-1,0.962523274597000,0.009305843216520,Arcadia,46030
-1,0.830239276848000,0.019304976767000,Argos,46501
-1,0.554139257292000,0.008803772813790,Arlington,46104
-1,0.507396616627000,0.006405898131340,Ashley,46705
-1,0.957410030730000,0.011977054511800,Atlanta,46031
-1,1.367032408460000,0.040595429843400,Attica,47918
-1,0.957029790944000,0.023651970966000,Auburn,46706
-1,1.221977820940000,0.019760358305600,Aurora,47001
-1,0.673093031604000,0.010721868864100,Austin,47102
-1,0.635999660984000,0.011387993776100,Avilla,46710
-1,0.493156402798000,0.007221928501480,Avon,46123
-1,0.702719814403000,0.012105494648600,Bainbridge,46105
-1,0.548056811094000,0.009557115007180,Bargersville,46106
-1,1.172718175880000,0.027176426347800,Batesville,47006
-1,0.193254001083000,0.001413757639080,Bath,47010
-1,0.746673790986000,0.008059592986750,Battle Ground,47920
-1,0.441087077072000,0.010283940839800,Beaverville,60912
-1,1.864712387760000,0.049472009317300,Bedford,47421
-1,0.206217643044000,0.000921214829314,Beech Grove,46107
-1,0.646031846322000,0.015319786170700,Beecher,60401
-1,1.092629285020000,0.011341357931400,Bennington,47011
-1,0.873214629040000,0.016494647439900,Berne,46711
-1,0.772008276601000,0.014136365078200,Bicknell,47512
-1,0.880202015713000,0.016075578530700,Birdseye,47513
-1,0.420520468816000,0.005929849947910,Bismarck,61814
-1,1.077096139400000,0.044031018243000,Bloomfield,47424
-1,0.406911083042000,0.007230695856750,Bloomingdale,47832
-1,0.832785617874000,0.023834086934600,Bloomington,47401
-1,0.737945846146000,0.022179109294500,Bloomington,47403
-1,0.887885668881000,0.014339946791000,Bloomington,47404
-1,0.036604796883600,0.000069380107823,Bloomington,47405
-1,0.085935159523700,0.000120739375578,Bloomington,47406
-1,0.825043970877000,0.018179889124300,Bloomington,47408
-1,1.353740712590000,0.036561065361800,Bluffton,46714
-1,0.360822810946000,0.002424756492090,Boggstown,46110
-1,1.100754631650000,0.035983933369700,Boonville,47601
-1,0.870888341628000,0.018565269330900,Borden,47106
-1,0.513112694996000,0.009916033292070,Boswell,47921
-1,0.774444550570000,0.018140603297400,Bourbon,46504
-1,0.569254723079000,0.011272523082200,Bowling Green,47833
-1,0.297738199475000,0.003727039746630,Branchville,47514
-1,1.322622503480000,0.044008300060900,Brazil,47834
-1,1.039206030050000,0.029150127512200,Bremen,46506
-1,0.394004493082000,0.007224815184110,Bridgeton,47836
-1,0.782687405367000,0.008479849061400,Bringhurst,46913
-1,0.625598866238000,0.012181774413800,Bristol,46507
-1,0.622758176215000,0.014371231290000,Bristow,47515
-1,1.219103819770000,0.035028794842700,Bronson,49028
-1,0.943256861376000,0.021517950159700,Brook,47922
-1,1.039947765550000,0.025481053975800,Brookston,47923
-1,1.943346158820000,0.048030226240900,Brookville,47012
-1,0.635949476100000,0.011370194749800,Brownsburg,46112
-1,1.320663858720000,0.021542754238100,Brownstown,47220
-1,0.379475284215000,0.006616455804130,Brownsville,47325
-1,0.387225089774000,0.006391892038300,Bruceville,47516
-1,0.858748920976000,0.017494135684000,Bryant,47326
-1,0.851130241075000,0.018983544957700,Buchanan,49107
-1,0.200879490655000,0.002417042676110,Buckskin,47647
-1,0.476993137179000,0.008952162148790,Bunker Hill,46914
-1,0.018351056440200,0.000020490608257,Burket,46508
-1,0.750366036874000,0.009064632177580,Burnettsville,47926
-1,0.180515274845000,0.001225571033690,Burr Oak,49030
-1,0.767201001812000,0.022512894819100,Butler,46721
-1,0.966395027181000,0.015823911536600,Butlerville,47223
-1,0.651834952269000,0.014544580676700,Cambridge City,47327
-1,0.367345876452000,0.004167351533160,Camby,46113
-1,1.157354956210000,0.023786100291800,Camden,45311
-1,0.764393013412000,0.015929644061300,Camden,46917
-1,1.160117444060000,0.024945026162400,Campbellsburg,47108
-1,0.607533470154000,0.007159025541280,Canaan,47224
-1,0.321109002050000,0.005633976581210,Cannelburg,47519
-1,0.853109834769000,0.009736135351790,Cannelton,47520
-1,0.377116577262000,0.005072838446660,Carbon,47837
-1,1.141485944270000,0.030601065277500,Carlisle,47838
-1,0.535957556463000,0.007188327816160,Carmel,46032
-1,0.415747853992000,0.004844157505450,Carmel,46033
-1,1.465068581030000,0.052767560208800,Carmi,62821
-1,0.634710750157000,0.009037733741310,Carthage,46115
-1,0.904062601269000,0.016316675452800,Cayuga,47928
-1,0.541182077492000,0.005720546569720,Cedar Grove,47016
-1,0.525026877426000,0.008582197570900,Cedar Lake,46303
-1,0.506130806731000,0.006431656146310,Celestine,47521
-1,1.329244850570000,0.047018806431500,Celina,45822
-1,0.670114753902000,0.013680667050800,Centerpoint,47840
